id,price
89224365f8,447113.3333333333
363731333f,315000.0
6e6283378a,448000.0
4c29a27f44,1505000.0
7b16cf224b,474599.0
c0c699ebcc,301000.0
d36b41a815,150500.0
9be92984b9,629300.0
f774771058,281788.8888888889
0c4add382a,2147056.0
8d6b937f00,200549.5
eb15c43587,581000.0
b3bffc4413,798000.0
edf9c48708,419650.0
50a0189faf,251999.0
de4b79dead,224000.0
152f94bd3b,556500.0
b7736872b6,728350.0
db0b5c7a47,795778.0
a8dd281b11,278249.5
281151242b,686000.0
2db79d7c7c,182000.0
fe82d83b82,856800.0
d7db923b3c,196000.0
bc9bd0ab2b,358750.0
7ca2b5fb45,329000.0
191c9ed2b9,208600.0
38de2dc1a8,247205.33333333334
55f24b8f6c,3849999.0
38e7d3b079,283500.0
53bd232479,1050000.0
b579f925a4,482999.0
92cc3536ed,2100000.0
396f8c27da,902766.1111111111
b6c02471bc,241265.66666666666
31131a56a0,170100.0
ac739b93d5,190750.0
1c84ae825b,244999.0
236c77bef3,1323000.0
b94781bf65,255499.8
ee0f074d18,206500.0
491209a97a,1120000.0
6838647e07,328258.0
a8ce91143d,252839.4
97b93cb9da,333900.0
27d4c81c61,749000.0
a6afcab962,177450.0
9155022909,371000.0
d18c0d9701,164500.0
ea4fcf21b2,247099.0
f84a19b7f0,595000.0
557181a32f,1049806.75
04a7335370,230999.0
a8f690dd33,298200.0
3c87bab291,342160.0
4db9e2e999,419300.0
14dd393119,616000.0
f397d1c3b5,116199.0
416abf241b,623000.0
cd7b9e6892,253448.0
1bbdeca9cc,448000.0
28d30af69a,409500.0
7081ae7078,393225.0
dee4cf0f73,3814999.3636363638
15eef1b505,357000.0
acb50155fd,178723.0
2989f6a68f,840000.0
8c918e75e8,979999.0
0eb180afce,700466.6666666666
dc7117940f,203000.0
5910aa1a2d,893666.3333333334
f86d1b5388,3339000.0
4c85b0d740,297150.0
ff0092b0c1,301326.6666666667
10d4de0e3e,291200.0
e41469f158,503999.0
d462677f58,294000.0
205cf47efe,665000.0
949ad84b01,525000.0
17cad21fb5,791971.5
0ae1dec453,251299.0
137d164658,1140002.6666666667
5c6da2065f,560000.0
bd033b0ec3,475999.0
3436eeafc5,364000.0
93c1417483,944999.0
dfb1e61375,230999.0
a62f4d13fc,430500.0
e3d7f24801,944999.0
ae76df42b2,402500.0
b9c8a85608,220500.0
75f38e54ec,323166.6666666667
563b7c6a40,617968.75
cb571ac25e,224000.0
2a666915d8,525000.0
4fb8049c7d,269500.0
c544a227e0,138600.0
a46066f9f8,535499.3333333334
bfe043389e,623000.0
3bd565b61e,431900.0
c5e1be1f7d,273000.0
faa8c88b65,229949.5
a3ac65d1ca,595000.0
ce705fc4c7,532000.0
1ac15cc6fa,587300.0
b54552d300,371000.0
e00f04559d,171500.0
773eb2f828,594681.8181818182
cb901c7b32,203000.0
d5313e55e2,2100000.0
291b9ec5e3,399105.0
8455444608,280000.0
